Piloto,Corridas,PRI,SEG,TER,Podios,Poles,Voltas,Mais Rapidas,Pontos
Ayrton Senna,16,6,2,3,11,10,895,2,78
Alain Prost,16,5,2,2,9,0,859,2,73
Nelson Piquet,16,2,1,1,4,0,958,0,44
Nigel Mansell,16,1,3,1,5,3,886,3,37
Thierry Boutsen,16,1,1,1,3,1,793,1,34
Riccardo Patrese,16,1,0,0,1,0,915,4,23
Gerhard Berger,16,0,2,5,7,2,946,3,43
Aguri Suzuki,16,0,0,1,1,0,620,0,6
Eric Bernard,16,0,0,0,0,0,692,0,5
Derek Warwick,16,0,0,0,0,0,746,0,3
Stefano Modena,16,0,0,0,0,0,619,0,2
Nicola Larini,16,0,0,0,0,0,842,0,0
Jean Alesi,15,0,2,0,2,0,724,0,13
Satoru Nakajima,15,0,0,0,0,0,546,0,3
Pierluigi Martini,15,0,0,0,0,0,593,0,0
Andrea de Cesaris,15,0,0,0,0,0,483,0,0
Philippe Alliot,15,0,0,0,0,0,743,0,0
Alessandro Nannini,14,0,1,2,3,0,738,1,21
Ivan Capelli,14,0,1,0,1,0,579,0,6
Emanuele Pirro,14,0,0,0,0,0,337,0,0
Michele Alboreto,13,0,0,0,0,0,624,0,0
Martin Donnelly,13,0,0,0,0,0,509,0,0
Alex Caffi,11,0,0,0,0,0,602,0,2
Mauricio Gugelmin,11,0,0,0,0,0,467,0,1
Olivier Grouillard,9,0,0,0,0,0,417,0,0
Paolo Barilla,8,0,0,0,0,0,406,0,0
David Brabham,8,0,0,0,0,0,227,0,0
Gregor Foitek,7,0,0,0,0,0,299,0,0
Roberto Moreno,5,0,1,0,1,0,200,0,6
Yannick Dalmas,5,0,0,0,0,0,223,0,0
Jyrki Jarvilehto,5,0,0,0,0,0,222,0,0
Gabriele Tarquini,4,0,0,0,0,0,178,0,0
Gianni Morbidelli,3,0,0,0,0,0,102,0,0
Johnny Herbert,2,0,0,0,0,0,88,0,0
Bernd Schneider,1,0,0,0,0,0,70,0,0
